id,timestamp,status,file_path_1,file_path_2,count_bbox
451,2024-10-06 00:39:48,incomplete,/usr/local/spark/assets/cam01/cam_120241006_003948.jpg,/usr/local/spark/assets/cam02/cam_220241006_003948.jpg,4
452,2024-10-06 00:42:49,incomplete,/usr/local/spark/assets/cam01/cam_120241006_004249.jpg,/usr/local/spark/assets/cam02/cam_220241006_004249.jpg,4
453,2024-10-06 00:45:50,incomplete,/usr/local/spark/assets/cam01/cam_120241006_004550.jpg,/usr/local/spark/assets/cam02/cam_220241006_004551.jpg,4
454,2024-10-06 00:48:51,incomplete,/usr/local/spark/assets/cam01/cam_120241006_004851.jpg,/usr/local/spark/assets/cam02/cam_220241006_004852.jpg,4
455,2024-10-06 00:51:52,incomplete,/usr/local/spark/assets/cam01/cam_120241006_005152.jpg,/usr/local/spark/assets/cam02/cam_220241006_005153.jpg,5
456,2024-10-06 00:54:54,incomplete,/usr/local/spark/assets/cam01/cam_120241006_005454.jpg,/usr/local/spark/assets/cam02/cam_220241006_005454.jpg,6
457,2024-10-06 00:57:55,incomplete,/usr/local/spark/assets/cam01/cam_120241006_005755.jpg,/usr/local/spark/assets/cam02/cam_220241006_005756.jpg,4
458,2024-10-06 01:00:56,incomplete,/usr/local/spark/assets/cam01/cam_120241006_010056.jpg,/usr/local/spark/assets/cam02/cam_220241006_010057.jpg,4
459,2024-10-06 01:03:57,incomplete,/usr/local/spark/assets/cam01/cam_120241006_010357.jpg,/usr/local/spark/assets/cam02/cam_220241006_010358.jpg,5
460,2024-10-06 01:06:58,incomplete,/usr/local/spark/assets/cam01/cam_120241006_010658.jpg,/usr/local/spark/assets/cam02/cam_220241006_010659.jpg,4
461,2024-10-06 01:10:00,incomplete,/usr/local/spark/assets/cam01/cam_120241006_011000.jpg,/usr/local/spark/assets/cam02/cam_220241006_011000.jpg,4
462,2024-10-06 01:13:01,incomplete,/usr/local/spark/assets/cam01/cam_120241006_011301.jpg,/usr/local/spark/assets/cam02/cam_220241006_011301.jpg,5
463,2024-10-06 01:16:02,incomplete,/usr/local/spark/assets/cam01/cam_120241006_011602.jpg,/usr/local/spark/assets/cam02/cam_220241006_011603.jpg,4
464,2024-10-06 01:19:03,incomplete,/usr/local/spark/assets/cam01/cam_120241006_011903.jpg,/usr/local/spark/assets/cam02/cam_220241006_011904.jpg,5
465,2024-10-06 01:22:04,incomplete,/usr/local/spark/assets/cam01/cam_120241006_012204.jpg,/usr/local/spark/assets/cam02/cam_220241006_012205.jpg,3
466,2024-10-06 01:25:06,incomplete,/usr/local/spark/assets/cam01/cam_120241006_012506.jpg,/usr/local/spark/assets/cam02/cam_220241006_012506.jpg,1
467,2024-10-06 01:28:07,incomplete,/usr/local/spark/assets/cam01/cam_120241006_012807.jpg,/usr/local/spark/assets/cam02/cam_220241006_012807.jpg,1
468,2024-10-06 01:31:08,incomplete,/usr/local/spark/assets/cam01/cam_120241006_013108.jpg,/usr/local/spark/assets/cam02/cam_220241006_013108.jpg,1
469,2024-10-06 01:34:09,incomplete,/usr/local/spark/assets/cam01/cam_120241006_013409.jpg,/usr/local/spark/assets/cam02/cam_220241006_013410.jpg,1
470,2024-10-06 01:37:10,incomplete,/usr/local/spark/assets/cam01/cam_120241006_013710.jpg,/usr/local/spark/assets/cam02/cam_220241006_013711.jpg,0
472,2024-10-06 01:43:12,incomplete,/usr/local/spark/assets/cam01/cam_120241006_014312.jpg,/usr/local/spark/assets/cam02/cam_220241006_014313.jpg,1
473,2024-10-06 01:46:13,incomplete,/usr/local/spark/assets/cam01/cam_120241006_014613.jpg,/usr/local/spark/assets/cam02/cam_220241006_014614.jpg,0
